,temperature_2m,relativehumidity_2m,windspeed_10m,precipitation
2020-01-01 00:00:00,21.3,88,16.4,0.0
2020-01-01 01:00:00,20.7,91,15.8,0.0
2020-01-01 02:00:00,20.2,92,16.1,0.0
2020-01-01 03:00:00,20.0,93,17.1,0.0
2020-01-01 04:00:00,19.8,92,19.2,0.0
2020-01-01 05:00:00,19.3,92,21.8,0.0
2020-01-01 06:00:00,19.3,90,22.6,0.0
2020-01-01 07:00:00,19.3,85,23.0,0.0
2020-01-01 08:00:00,19.7,80,24.3,0.0
2020-01-01 09:00:00,21.1,78,19.3,0.0
2020-01-01 10:00:00,22.2,74,18.5,0.0
2020-01-01 11:00:00,23.1,70,18.2,0.0
2020-01-01 12:00:00,24.1,65,18.8,0.2
2020-01-01 13:00:00,23.9,68,18.4,0.2
2020-01-01 14:00:00,24.3,65,20.6,0.0
2020-01-01 15:00:00,24.8,63,19.9,0.0
2020-01-01 16:00:00,23.8,70,21.6,0.1
2020-01-01 17:00:00,23.9,68,22.3,0.1
2020-01-01 18:00:00,23.9,66,23.5,0.0
2020-01-01 19:00:00,23.2,70,24.0,0.0
2020-01-01 20:00:00,22.1,74,22.4,0.0
2020-01-01 21:00:00,21.4,77,19.9,0.0
2020-01-01 22:00:00,20.7,79,20.6,0.0
2020-01-01 23:00:00,19.7,83,19.9,0.0
2020-01-02 00:00:00,19.1,86,19.6,0.0
2020-01-02 01:00:00,18.7,88,19.1,0.0
2020-01-02 02:00:00,18.6,88,18.2,0.0
2020-01-02 03:00:00,18.3,90,17.7,0.0
2020-01-02 04:00:00,18.3,90,18.2,0.0
2020-01-02 05:00:00,18.4,92,16.8,0.1
2020-01-02 06:00:00,19.0,92,16.6,0.1
2020-01-02 07:00:00,20.0,89,17.6,0.1
2020-01-02 08:00:00,21.1,84,18.7,0.3
2020-01-02 09:00:00,21.8,75,20.2,0.4
2020-01-02 10:00:00,22.2,76,21.3,0.4
2020-01-02 11:00:00,23.0,71,23.8,0.2
2020-01-02 12:00:00,23.3,69,23.8,0.1
2020-01-02 13:00:00,23.6,67,25.0,0.1
2020-01-02 14:00:00,23.9,67,25.4,0.0
2020-01-02 15:00:00,24.2,65,23.6,0.0
2020-01-02 16:00:00,24.2,67,23.9,0.0
2020-01-02 17:00:00,23.6,69,26.2,0.0
2020-01-02 18:00:00,23.1,71,26.8,0.0
2020-01-02 19:00:00,22.3,73,27.6,0.0
2020-01-02 20:00:00,21.6,77,25.6,0.0
2020-01-02 21:00:00,21.2,77,24.2,0.0
2020-01-02 22:00:00,21.4,78,22.8,0.0
2020-01-02 23:00:00,21.7,78,23.5,0.0
2020-01-03 00:00:00,21.8,79,24.0,0.0
2020-01-03 01:00:00,21.6,81,23.4,0.1
2020-01-03 02:00:00,21.4,83,21.7,0.0
2020-01-03 03:00:00,21.1,84,19.8,0.0
2020-01-03 04:00:00,20.9,84,18.7,0.0
2020-01-03 05:00:00,20.7,84,18.9,0.0
2020-01-03 06:00:00,20.5,85,18.7,0.0
2020-01-03 07:00:00,20.8,84,20.1,0.0
2020-01-03 08:00:00,21.1,84,20.3,0.0
2020-01-03 09:00:00,21.7,78,18.7,0.0
2020-01-03 10:00:00,22.3,76,16.5,0.0
2020-01-03 11:00:00,23.0,75,14.0,0.0
2020-01-03 12:00:00,23.6,73,13.4,0.0
2020-01-03 13:00:00,24.1,69,14.5,0.0
2020-01-03 14:00:00,24.5,63,16.2,0.0
2020-01-03 15:00:00,24.9,59,16.2,0.0
2020-01-03 16:00:00,25.1,54,15.5,0.0
2020-01-03 17:00:00,24.9,59,19.9,0.0
2020-01-03 18:00:00,23.6,70,23.9,0.0
2020-01-03 19:00:00,23.0,74,22.7,0.0
2020-01-03 20:00:00,22.1,80,21.1,0.0
2020-01-03 21:00:00,22.0,81,20.8,0.0
2020-01-03 22:00:00,21.9,83,20.6,0.0
2020-01-03 23:00:00,21.9,85,17.4,0.0
2020-01-04 00:00:00,22.3,85,14.2,0.0
2020-01-04 01:00:00,22.5,82,11.2,0.0
2020-01-04 02:00:00,22.7,78,14.0,0.0
2020-01-04 03:00:00,22.2,73,19.5,0.0
2020-01-04 04:00:00,21.6,76,18.8,0.0
2020-01-04 05:00:00,21.1,79,18.2,0.0
2020-01-04 06:00:00,20.9,81,16.9,0.0
2020-01-04 07:00:00,21.5,79,17.0,0.0
2020-01-04 08:00:00,22.0,77,18.0,0.0
2020-01-04 09:00:00,22.5,69,15.5,0.0
2020-01-04 10:00:00,23.0,68,13.9,0.0
2020-01-04 11:00:00,23.7,65,13.0,0.0
2020-01-04 12:00:00,24.4,62,13.2,0.0
2020-01-04 13:00:00,24.9,59,12.9,0.0
2020-01-04 14:00:00,25.3,53,11.6,0.0
2020-01-04 15:00:00,25.5,51,11.7,0.0
2020-01-04 16:00:00,25.6,53,10.7,0.0
2020-01-04 17:00:00,25.5,54,10.5,0.0
2020-01-04 18:00:00,25.3,53,10.2,0.0
2020-01-04 19:00:00,24.7,56,9.0,0.0
2020-01-04 20:00:00,23.3,65,7.6,0.0
2020-01-04 21:00:00,23.0,66,9.4,0.0
2020-01-04 22:00:00,23.0,68,13.4,0.0
2020-01-04 23:00:00,22.8,68,13.8,0.0
2020-01-05 00:00:00,22.5,73,13.1,0.0
2020-01-05 01:00:00,22.2,77,8.7,0.0
2020-01-05 02:00:00,22.2,77,9.3,0.0
2020-01-05 03:00:00,22.2,80,11.7,0.0
2020-01-05 04:00:00,21.8,83,7.3,0.0
2020-01-05 05:00:00,21.7,84,8.3,0.0
2020-01-05 06:00:00,20.2,89,8.4,0.0
2020-01-05 07:00:00,22.8,82,8.4,0.0
2020-01-05 08:00:00,24.0,72,14.7,0.0
2020-01-05 09:00:00,24.9,63,13.6,0.0
2020-01-05 10:00:00,25.6,57,12.3,0.0
2020-01-05 11:00:00,26.4,51,9.7,0.0
2020-01-05 12:00:00,26.8,49,11.3,0.0
2020-01-05 13:00:00,27.1,49,12.6,0.0
2020-01-05 14:00:00,26.9,47,17.3,0.0
2020-01-05 15:00:00,27.2,47,12.9,0.0
2020-01-05 16:00:00,27.0,49,8.2,0.0
2020-01-05 17:00:00,26.3,50,14.3,0.0
2020-01-05 18:00:00,26.0,53,17.0,0.0
2020-01-05 19:00:00,25.1,62,18.5,0.0
2020-01-05 20:00:00,24.0,67,16.9,0.0
2020-01-05 21:00:00,23.8,72,11.2,0.0
2020-01-05 22:00:00,23.8,78,9.7,0.0
2020-01-05 23:00:00,23.1,83,7.2,0.0
2020-01-06 00:00:00,21.5,72,27.5,0.0
2020-01-06 01:00:00,21.1,73,29.0,0.2
2020-01-06 02:00:00,20.1,82,29.7,1.5
2020-01-06 03:00:00,18.8,90,17.0,3.9
2020-01-06 04:00:00,19.3,83,10.2,1.0
2020-01-06 05:00:00,18.6,91,3.4,2.0
2020-01-06 06:00:00,18.9,84,14.4,1.2
2020-01-06 07:00:00,19.5,85,17.9,0.0
2020-01-06 08:00:00,19.5,78,20.2,0.0
2020-01-06 09:00:00,20.0,63,25.7,0.0
2020-01-06 10:00:00,21.5,62,22.9,0.0
2020-01-06 11:00:00,23.2,58,20.9,0.0
2020-01-06 12:00:00,24.8,53,23.1,0.0
2020-01-06 13:00:00,26.1,40,27.7,0.0
2020-01-06 14:00:00,26.5,33,30.5,0.0
2020-01-06 15:00:00,26.2,36,31.8,0.0
2020-01-06 16:00:00,26.0,38,31.0,0.0
2020-01-06 17:00:00,25.4,39,31.1,0.0
2020-01-06 18:00:00,24.5,42,28.2,0.0
2020-01-06 19:00:00,23.4,47,24.4,0.0
2020-01-06 20:00:00,21.9,51,19.3,0.0
2020-01-06 21:00:00,20.6,53,16.8,0.0
2020-01-06 22:00:00,19.6,58,14.5,0.0
2020-01-06 23:00:00,18.9,62,9.8,0.0
2020-01-07 00:00:00,18.1,66,8.8,0.0
2020-01-07 01:00:00,17.3,69,10.9,0.0
2020-01-07 02:00:00,16.7,70,13.4,0.0
2020-01-07 03:00:00,16.3,69,12.6,0.0
2020-01-07 04:00:00,15.8,68,13.0,0.0
2020-01-07 05:00:00,15.5,65,13.4,0.0
2020-01-07 06:00:00,15.1,64,13.4,0.0
2020-01-07 07:00:00,16.2,62,14.8,0.0
2020-01-07 08:00:00,18.6,56,13.8,0.0
2020-01-07 09:00:00,21.2,51,16.6,0.0
2020-01-07 10:00:00,23.2,45,15.0,0.0
2020-01-07 11:00:00,24.7,38,14.1,0.0
2020-01-07 12:00:00,25.8,35,13.8,0.0
2020-01-07 13:00:00,26.7,33,13.9,0.0
2020-01-07 14:00:00,27.3,32,16.0,0.0
2020-01-07 15:00:00,27.8,32,18.1,0.0
2020-01-07 16:00:00,27.8,34,19.6,0.0
2020-01-07 17:00:00,27.7,36,20.2,0.0
2020-01-07 18:00:00,27.3,39,19.1,0.0
2020-01-07 19:00:00,26.3,47,14.8,0.0
2020-01-07 20:00:00,24.4,56,11.8,0.0
2020-01-07 21:00:00,23.7,55,15.5,0.0
2020-01-07 22:00:00,23.0,58,16.1,0.0
2020-01-07 23:00:00,22.6,59,15.8,0.0
2020-01-08 00:00:00,22.1,60,15.3,0.0
2020-01-08 01:00:00,21.4,62,15.4,0.0
2020-01-08 02:00:00,21.0,62,15.0,0.0
2020-01-08 03:00:00,20.6,62,14.8,0.0
2020-01-08 04:00:00,20.3,63,15.3,0.0
2020-01-08 05:00:00,19.9,63,15.8,0.0
2020-01-08 06:00:00,19.5,64,15.0,0.0
2020-01-08 07:00:00,20.5,64,16.1,0.0
2020-01-08 08:00:00,22.2,60,17.0,0.0
2020-01-08 09:00:00,24.1,54,19.8,0.0
2020-01-08 10:00:00,25.4,52,19.8,0.0
2020-01-08 11:00:00,26.3,52,21.1,0.0
2020-01-08 12:00:00,27.1,50,23.0,0.0
2020-01-08 13:00:00,28.2,44,22.7,0.0
2020-01-08 14:00:00,29.5,38,23.1,0.0
2020-01-08 15:00:00,30.3,36,25.6,0.0
2020-01-08 16:00:00,30.5,36,25.2,0.0
2020-01-08 17:00:00,30.1,39,22.2,0.0
2020-01-08 18:00:00,29.1,44,21.9,0.0
2020-01-08 19:00:00,28.0,48,23.3,0.0
2020-01-08 20:00:00,26.6,59,8.3,0.1
2020-01-08 21:00:00,26.0,62,10.5,0.0
2020-01-08 22:00:00,26.3,61,12.6,0.0
2020-01-08 23:00:00,26.0,63,14.8,0.0
2020-01-09 00:00:00,25.2,68,10.5,0.0
2020-01-09 01:00:00,24.7,75,7.3,0.0
2020-01-09 02:00:00,24.9,74,16.8,0.0
2020-01-09 03:00:00,25.0,72,16.7,0.0
2020-01-09 04:00:00,24.1,70,13.7,0.0
2020-01-09 05:00:00,23.4,67,13.5,0.0
2020-01-09 06:00:00,22.7,70,9.3,0.0
2020-01-09 07:00:00,23.3,69,12.4,0.0
2020-01-09 08:00:00,24.3,66,14.2,0.0
2020-01-09 09:00:00,23.5,73,5.8,1.1
2020-01-09 10:00:00,23.9,73,8.6,0.0
2020-01-09 11:00:00,24.6,65,13.4,0.0
2020-01-09 12:00:00,25.6,59,11.8,0.0
2020-01-09 13:00:00,27.4,54,14.2,0.0
2020-01-09 14:00:00,28.2,52,12.5,0.0
2020-01-09 15:00:00,28.8,50,8.8,0.0
